ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
02921AJ.HK,太阳世纪集团股权,太阳世纪集团股权,,TYSJJTGQ,主板,D,20161124,20161201,10000.0,KYG8572D1390,HKD
02921AK.HK,利标品牌(旧),利标品牌(旧),,LBPPJ,主板,D,20190409,20190517,200.0,BMG393381279,HKD
02922.HK,华亿传媒,华亿传媒,,HYCM,主板,D,20120824,20120927,5000.0,,HKD
02922.HK,英皇国际,英皇国际,,YHGJ,主板,D,20030331,20030509,10000.0,,HKD
02922.HK,意科控股,意科控股,,YKKG,主板,D,20140729,20140901,400.0,,HKD
02922.HK,金风科技股权,金风科技股权,,JFKJGQ,主板,D,20190409,20190416,200.0,,HKD
02922AE.HK,嘉禾娱乐,嘉禾娱乐,,JHYL,主板,D,20070510,20070615,200.0,,HKD
02922AF.HK,中国生物制药,中国生物制药,,ZGSWZY,主板,D,20151127,20151217,4000.0,HK0000316205,HKD
02922AG.HK,五矿资源股权,五矿资源股权,,WKZYGQ,主板,D,20161125,20161202,4000.0,HK0000316205,HKD
02922AH.HK,勤＋缘媒体服务,勤＋缘媒体服务,,Q@YMTFW,主板,D,20130710,20130813,500.0,,HKD
02922AI.HK,舜宇光学（一千）,舜宇光学（一千）,,SYGXYQ,主板,D,20180119,20180208,1000.0,,HKD
02922AJ.HK,联合水泥,联合水泥,,LHSN,主板,D,20150120,20150225,15000.0,,HKD
02923.HK,万隆控股集团股权,万隆控股集团股权,,WLKGJTGQ,主板,D,20161213,20161220,2000.0,BMG0865U1181,HKD
02923.HK,华君控股,华君控股,,HJKG,主板,D,20180305,20180411,40.0,,HKD
02923.HK,香港建屋贷款,香港建屋贷款,,XGJWDK,主板,D,20121220,20130128,800.0,,HKD
02923.HK,利丰,利丰,,LF,主板,D,20000919,20001026,4000.0,,HKD
02923AE.HK,悦达控股,悦达控股,,YDKG,主板,D,20070516,20070607,3000.0,,HKD
02923AF.HK,中国置业投资,中国置业投资,,ZGZYTZ,主板,D,20100712,20100813,1000.0,,HKD
02923AG.HK,豊采多媒体,豊采多媒体,,LCDMT,主板,D,20080502,20080610,1000.0,,HKD
02923AH.HK,永利控股（旧）,永利控股（旧）,,YLKGJ,主板,D,20030407,20030515,500.0,,HKD
02923AI.HK,天行國際-舊,天行國際-舊,,THGJJ,主板,D,20020305,20020412,200.0,,HKD
02923AJ.HK,昊天发展集团,昊天发展集团,,HTFZJT,主板,D,20140731,20140903,400.0,,HKD
02923AK.HK,香港教育(八千),香港教育(八千),,XGJYBQ,主板,D,20190409,20190502,8000.0,,HKD
02923AL.HK,隆基泰和,隆基泰和,,LJTH,主板,D,20151202,20151222,4000.0,,HKD
02924.HK,中国星集团,中国星集团,,ZGXJT,主板,D,20100723,20100730,5000.0,,HKD
02924.HK,君阳太阳能,君阳太阳能,,JYTYN,主板,D,20140812,20140916,5000.0,,HKD
02924.HK,联合基因集团,联合基因集团,,LHJYJT,主板,D,20090615,20090706,10000.0,,HKD
02924.HK,汉基控股,汉基控股,,HJKG,主板,D,20150123,20150302,40000.0,,HKD
02924AE.HK,汉基控股,汉基控股,,HJKG,主板,D,20120817,20120920,10000.0,,HKD
02924AF.HK,中国水务,中国水务,,ZGSW,主板,D,20070515,20070606,10000.0,,HKD
02924AG.HK,中国环保能源,中国环保能源,,ZGHBNY,主板,D,20130718,20130821,40000.0,,HKD
02924AH.HK,時富金融服務集團,時富金融服務集團,,SFJRFWJT,主板,D,20080502,20080610,800.0,,HKD
02924AI.HK,十方控股(旧),十方控股(旧),,SFKGJ,主板,D,20190410,20190520,250.0,BMG8126A1282,HKD
02924AJ.HK,华禧控股,华禧控股,,HXKG,主板,D,20180125,20180302,4000.0,,HKD
02924AK.HK,鼎丰集团控股,鼎丰集团控股,,DFJTKG,主板,D,20151201,20160106,20000.0,,HKD
02924AL.HK,宏安地产,宏安地产,,HADC,主板,D,20161207,20170113,40000.0,,HKD
02925.HK,和记行集团(旧),和记行集团(旧),,HJHJTJ,主板,D,20020318,20020425,200.0,,HKD
02925.HK,中国天化工,中国天化工,,ZGTHG,主板,D,20110621,20110726,1000.0,,HKD
02925.HK,区块链集团,区块链集团,,QKLJT,主板,D,20180130,20180307,200.0,,HKD
